tipo,zona,dormitorios,duchas,garajes,m2,precio
Casas,Norte,3,2,2,272,156000
Casas,Sur,4,2,2,300,95000
Casas,Oeste,5,3,3,475,499000
Casas,Urubo,4,3,0,330,300000
Casas,Norte,4,3,3,317,220000
Casas,Norte,5,3,3,382,355000
Casas,Norte,4,3,2,260,279000
Casas,Oeste,3,3,3,550,393000
Casas,Centro,4,3,1,176,305000
Casas,Norte,5,3,2,260,185000
Casas,Urubo,4,3,2,280,180000
Casas,Urubo,4,3,0,290,250000
Casas,Norte,4,3,3,488,460000
Casas,Oeste,4,3,2,169,118000
Casas,Sur,5,3,1,332,349000
Casas,Centro,3,3,2,243,275000
Casas,Norte,4,3,3,225,290000
Departamentos,Norte,3,3,2,175,190000
Casas,Urubo,5,3,2,380,200000
Casas,Este,5,3,0,260,92000
Casas,Oeste,4,3,3,430,380000
Casas,Norte,4,2,2,190,155000
Casas,Norte,5,3,2,184,130000
Casas,Norte,4,3,0,245,155000
Casas,Centro,5,3,2,240,185000
Casas,Urubo,3,2,3,305,310000
Casas,Sur,5,2,3,200,65000
Casas,Norte,3,3,3,375,275000
Casas,Norte,3,3,2,293,210000
Casas,Norte,4,3,2,309,169000
Casas,Este,2,2,2,180,60000
Departamentos,Oeste,3,3,1,290,435000
Casas,Urubo,4,3,2,240,191000
Casas,Norte,5,3,3,260,220000
Departamentos,Norte,3,3,2,240,350000
Casas,Este,5,3,3,280,88000
Casas,Norte,4,3,3,317,220000
Casas,Norte,3,3,3,200,95000
Casas,Este,4,2,1,200,95000
Casas,Norte,5,2,2,340,157000
Casas,Norte,4,3,2,220,179000
Casas,Norte,3,3,2,152,110000
Departamentos,Sur,3,3,1,199,225000
Casas,Sur,4,3,0,280,365000
Casas,Norte,3,3,2,385,380000
Casas,Norte,5,3,2,260,255000
Casas,Norte,3,3,3,190,155000
Casas,Urubo,3,2,2,165,125000
Casas,Oeste,5,3,0,375,195000
Casas,Norte,4,3,2,290,245000
Departamentos,Oeste,3,3,1,213,220000
Casas,Sur,4,3,3,340,310000
Casas,Norte,4,3,3,300,300000
Casas,Norte,5,3,3,250,160000
Departamentos,Sur,3,3,0,226,240000
Departamentos,Oeste,3,3,0,290,435000
Casas,Este,4,3,0,200,169000
