titulo,tipo,dormitorios,baños,garajes,m2,zona,precio
Casa En Venta Condominio Valle Del Cartago / Km 8 Norte,Casas,3,2,2,272,Norte,156.000
Casa En Venta En El Urubo - Cond. Rio Sierra,Casas,4,3,3,721,Urubó,398.000
Casa En Venta Sobre Avenida Con Local Comercial,Casas,4,2,2,300,Sur,95.000
Casa En Venta En Colinas Del Urubo Sector 1 La Cañada,Casas,5,3,3,475,Oeste,499.000
Hermosa Casa Quinta Zona Urubo Trejo,Casas,4,3,0,330,Urubó,300.000
NA,NA,NA,NA,0,NA,NA,NA
"Casa En Venta En El Condominio La Pradera, Zona Norte De Santa Cruz",Casas,4,3,3,317,Norte / Remanso,220.000
Casa De Lujo En Venta !!!,Casas,5,3,3,382,Norte,355.000
En Equipetrol - Amplia Casa De 4 Dormts Ideal Para Inversion,Casas,4,3,2,260,Norte / Equipetrol,279.000
Alquiler Casa Grande Comercial Zona Céntrica C/opción A Venta,Casas,5,3,3,630,Centro,600.000
Casa A Pocos Metros De La Av Roca Y Coronado,Casas,3,3,3,550,Oeste,393.000
Casas Con Buena Ubicación Y Accesibles,Casas,3,3,1,300,Este,Consultar
Vendo Casa Sobre Av. Melchor Pinto Vivienda Comercial Para Inversion,Casas,4,3,1,176,Centro,305.000
Casa,Casas,5,3,2,260,Norte,185.000
Nuevo Precio !!!colinas Del Urubo 2 Vendo Bella Casa De Diseño,Casas,4,3,3,600,Urubó,1.100.000
Hermosa Y Comoda Casa Urb. Mirage - Urubo,Casas,4,3,2,280,Urubó,180.000
Departamento En Torre Suant Av. Las Americas,Departamentos,3,3,2,300,Sur,395.000
Casa En Pre-venta Urubo,Casas,4,3,0,290,Urubó,250.000
Casa En Venta Av. Alemana Entre 2do Y 3er Anillo Calle Las Piñas,Casas,4,3,3,488,Norte,460.000
Moderno Edificio En Venta,Casas,5,3,3,1078,Este,652.869
Casa De 4 Dormitorios En Venta,Casas,4,3,2,169,Oeste,118.000
Condominio Las Brisas Km 8.5 Al Norte,Casas,5,3,3,700,Norte,690.000
Casa En Venta - Zona Sur,Casas,5,3,1,332,Sur,349.000
Amplia Casa En Venta (dos Plantas),Casas,5,3,3,197533,Oeste,108.000
Céntrica Casa En Venta,Casas,3,3,2,243,Centro,275.000
Casa En Venta Equipetrol,Casas,4,3,3,225,Norte / Equipetrol,290.000
Edificio Punta Del Este. Depto 3 Dorm,Departamentos,3,3,2,175,Norte,190.000
Propiedad A Estrenar Obra Bruta Terminada,Casas,2,1,0,360,Este,15.500
Ganga De Casa En El Urubo,Casas,5,3,2,380,Urubó,200.000
Casa A Estrenar,Casas,5,3,0,260,Este,92.000
"Vendo Una  Hermosa Casa Amplia En Condominio, En El Urubó",Casas,4,3,3,430,Oeste,380.000
Colinas 1 Urubo Casa Nueva De Lujo,Casas,4,3,3,500,Urubó,595.000
Casa En Venta Sobre 3er Anillo Equipetrol,Casas,4,3,3,426,Norte / Equipetrol,535.000
Hermosa Casa Moderna En Mutualista,Casas,4,2,2,190,Norte,155.000
Casa En Venta Con Departamento Al Fondo De La Casa,Casas,5,3,2,184,Norte,130.000
Propiedad A Estrenar,Casas,4,3,0,245,Norte / Remanso,155.000
Construcción Colonial 1990,Casas,5,3,2,240,Centro,185.000
Vendo Hermosa Casa En Jardines Del Urubo,Casas,3,2,3,305,Urubó,310.000
Casa En Venta Barrio Palmira 10  Zona Sur,Casas,5,2,3,200,Sur,65.000
Casas En Preventa,Casas,2,1,0,300,Norte,45.000
Hermosa Casa A La Venta - Condominio Residencial Polo Country,Casas,3,3,3,375,Norte,275.000
Hermosa Casa Norte,Casas,3,3,2,293,Norte / Remanso,210.000
Casa En Venta De 4 Dormitorios - Zona Norte - Urb. Jardines Del Remanso,Casas,4,3,2,309,Norte / Remanso,169.000
"Casa En Venta. Urbanización El Trapiche, 2 Dormitorios, $us 60.000, Wsapp. 71016",Casas,2,2,2,180,Este,60.000
"Departamentos De Lujo En Venta , Barrio Las Palmas",Departamentos,3,3,1,290,Oeste / Las palmas,435.000
Pre-venta Casa Modelo Löwe - Viví En Una Eterna Vacación,Casas,4,3,2,240,Urubó,191.000
Casa En Venta Zona Norte En Condominio 5 Dormitorios,Casas,5,3,3,260,Norte,220.000
Vendo Un Hermoso Depto Equipado  A Estrenar De 240m2 En Equipetrol,Departamentos,3,3,2,240,Norte / Equipetrol,350.000
Casa En Venta - Condominio Paradisso,Casas,5,3,3,280,Este,88.000
"Casaen Enta En El Condominio La Pradera, Zona Norte De Santa Cruz",Casas,4,3,3,317,Norte / Remanso,220.000
Hermosas Casas En Preventa Y A Estrenar,Casas,3,3,3,200,Norte / Remanso,95.000
Casa De 4 Dormitorios En Venta,Casas,4,3,3,475,Urubó,500.000
Casa Dos Ambientes Independientes,Casas,4,2,1,200,Este,95.000
Bonita Casa En Venta Ideal Para Su Vivienda Y Alquileres Múltiples.,Casas,5,2,2,340,Norte,157.000
Casa En Venta Zona Norte De 4 Dormitorios,Casas,4,3,2,220,Norte,179.000
Zona Remanso - Casas A Estrenar,Casas,3,3,2,152,Norte / Remanso,110.000
Hermosa Casa En Hacienda Del Urubo,Casas,5,3,3,773,Urubó,640.000
Ocasion Venta De Departamento Calle Cochabamba Esquina Irala,Departamentos,3,3,1,199,Sur,225.000
"Vendo Una Casa, 280m2 Construidos En La Zona Sur, Cerca Avenida Las Americas",Casas,4,3,0,280,Sur,365.000
Hermosa Casa Con Piscina En Equipetrol,Casas,4,3,3,376,Norte / Equipetrol,530.000
Casa En Venta Zona Nor Este,Casas,3,3,2,385,Norte,380.000
Casa En Venta Barrio Hamacas,Casas,5,3,2,260,Norte / Hamacas,255.000
Casa En Condominio Zona Norte,Casas,3,3,3,190,Norte,155.000
Exclusivo Departamento En Equipetrol,Casas,1,1,1,4830,Centro,79.500
Hermosa Casa En Zona Norte,Casas,5,3,2,803,Norte,480.000
Casa En Venta Urubo,Casas,3,2,2,165,Urubó,125.000
Céntrica Casa En Venta,Casas,5,3,0,375,Oeste,195.000
"¡tu Casa! En Condominio Valle Norte 2, Zona Norte, Av. Banzer",Casas,4,3,2,290,Norte / Remanso,245.000
Casa De Lujo A Estrenar-la Hacienda Del Urubo,Casas,5,3,3,640,Urubó,630.000
Bellos Dptos. En Venta O Alquiler A Estrenar,Departamentos,3,3,1,213,Oeste / Urbari,220.000
Casa En Venta Av Juan Pablo Segundo,Casas,4,3,3,340,Sur,310.000
Vendo Hermosa Casa En La Mutualista C/38 Entre 3ro Y 4to Anillo,Casas,4,3,3,300,Norte,300.000
Casa En Venta Zona Norte 5 Dormitorios,Casas,5,3,3,250,Norte,160.000
Departamento Penthouse,Departamentos,4,3,1,325,Sur,230.000
"Departamento En Venta En 3er Anillo Sur Santa Cruz De La Sierra $us 240,000",Departamentos,3,3,0,226,Sur,240.000
Departamentos De Lujo Y Exclusivos Barrio Las Palmas,Departamentos,3,3,0,290,Oeste / Las palmas,435.000
Casa A Estrenar,Casas,4,3,0,200,Este,169.000
Casa De 3 Dormitorios Sevilla Terrazas II,Casas,3,2,2,165,Norte,120.000
Amplio Departamento,Departamentos,3,3,1,167,Norte,110.000
"Departamento De Lujo En Venta, Omnia Lux",Departamentos,2,3,2,265,Oeste,385.000
Lujosa Casa A Estrenar,Casas,4,3,0,196,Norte,169.000
Casa En Venta Zona Norte,Casas,3,3,2,175,Norte,180.000
Casa En Venta,Casas,5,2,0,180,Norte,80.000
Hermosa Casa De 3 Dormitorios Villa Mercedes,Casas,3,3,2,180,Oeste,168.000
Casa En Condominio Sevilla Los Jardines,Casas,3,2,2,157,Norte,120.000
"Hermosa Y Amplia Casa En Venta, 3er Anillo Externo Entre Mutualista Y Paragua",Casas,5,3,3,380,Norte,395.000
Hermosa Casa En Venta 4to Anillo,Casas,5,2,1,180,Sur,135.000.000
Casa En Venta,Casas,2,1,1,240,Norte,60.000
Dpto.  - B. Las Palmas,Departamentos,3,3,2,231,Centro,180.000
Sector Estratégico Y Comercial Cerca A La Universidad Gabriel Rene Moreno,Casas,5,2,1,230,Centro,139.500
Casa En Venta A Estrenar,Casas,4,3,3,428,Oeste,320.000
Hermosa Casa En Condominio 3 Dormitorios Y Demas Dependencias,Casas,3,3,0,157,Norte,135.000
Casa A 4 Cuadras Del 2do Anillo,Casas,5,3,0,330,Norte,260.000
Equipetrol Vendo Bello Departamento,Departamentos,3,3,2,202,Norte / Equipetrol,215.000
En Venta  Casa En Las Palmas,Casas,4,3,3,700,Oeste,700.000
En Venta Urubo,Casas,4,3,0,635,Urubó,520.000
Bonita Casa De 250m2 En El Barrio Las Palmas,Casas,5,3,2,250,Oeste / Las palmas,250.000
Lujosa Casa Smart Zona Norte,Casas,5,3,3,950,Norte,640.000
Hermosa Casa En Venta Las Palmas,Casas,4,2,2,270,Oeste,260.000
De Ocacion Vendo Casa En Valle Sanchez,Casas,5,3,3,160,Norte,65.000
Casa En Alquiler Una Cuadra Antes De 2º Anillo,Casas,4,3,1,218,Oeste / Urbari,250.000
Casa En Venta Sobre Avenida Con Local Comercial,Casas,3,2,2,300,Sur,220.000
Linda Casa Muy Bien Ubicada Zona Sur 3er Y 4to Anillo Santos Dumont,Casas,4,3,2,232,Sur,175.000
Amplia Y Cómoda Casa En Venta,Casas,4,3,2,250,Norte,242.000
Vendo Casa Lujosa,Casas,4,3,1,617,Este,499.000
Casa En Venta A Dos Cuadras Del 2do Anillo,Casas,5,3,0,228,Centro,150.000
Casa En Venta En Colinas Del Urubo La Cañada,Casas,3,3,3,420,Urubó,390.000
Casa En Venta Zona Norte 5to Anillo,Casas,3,3,2,215,Norte,133.000
2 Años De Construccion,Casas,5,3,0,380,Norte,265.000
Hermosa Casa Minimalista En Condominio Forestal,Casas,5,3,0,570,Oeste,700.000
Casa 1 Condominio Dalí,Casas,4,3,2,266,Oeste,368.000
Casa En Venta - Colinas Del Urubo Sector 2,Casas,4,3,3,540,Urubó,740.000
Casa En Venta,Casas,5,3,0,240,Sur,145.000
Apartamento Entre 1 Y 2 Anillo Av. Busch,Departamentos,3,3,1,158,Centro,170.000
Moderna Casa Ideal Para Tu Nuevo Hogar!!!,Casas,3,2,2,12535,Norte,90.000
Casa Centrica Zona Uagrm,Casas,4,3,2,221,Oeste,240.000
Casa Céntrica Con 3 Suites  Y Piscina (amoblada),Casas,5,3,2,200,Este,320.000
¡departamento En Venta Condominio Torre Milán!,Departamentos,3,3,1,173,Centro,160.000
Gran Oportunidad! Casa En Venta En Sirari-equipetrol,Casas,4,3,1,197,Norte / Equipetrol,275.000
Casa En Venta,Casas,5,3,2,267,Este,150.000
"Bonita Casa En Venta, Radial 27 Y 4to Anillo, 3 Dormit, Local Comercial,$170.000",Casas,3,3,2,210,Norte,170.000
Casa En Venta,Casas,5,1,1,200,Este,185.000
Chalet En Venta,Casas,5,3,2,200,Este,170.000
Casa En Venta,Casas,5,3,0,636,Centro,600.000
Casa En Venta,Casas,3,3,3,240,Norte,Consultar
Vendo Departamento 3er Anillo Y Ave San Aurelio,Departamentos,3,2,2,152,Sur / Polanco,118.000
Para Estrenar,Casas,5,3,0,196,Este,99.000
Oferta! Casa En Venta,Casas,3,3,1,218,Oeste,199.900
Bonita Casa En Venta,Casas,3,2,2,294,Norte,270.000
"Asa A Estrenar En Cond. Palma Dorada Av. Pirai, 6to Anillo.",Casas,5,3,2,150,Oeste,125.000
"Amplia Casa En El Quior, Media Cuadra Av Principal 336 M2 Terr Y 337 Construc.",Casas,5,2,2,337,Este,79.000
Casa En Venta A Una Cuadra Santos Dumont 6 Y 7,Casas,4,3,3,260,Sur,100.000
Departamento En Venta Zona B/ Hamacas,Departamentos,1,1,0,4190,Norte / Hamacas,48.500
Bellisima Casa Minimalista A Estrenar,Casas,4,3,0,215,Norte,210.000
Vendo Casa Zona Norte Av. Paragua Ente Edo Y 3er Anillos,Casas,5,3,3,395,Norte,495.000
Casa En Venta Zona Feria Barrio Lindo,Casas,5,3,2,315,Este,165.000
Nuevo,Casas,2,1,0,400,Urubó,100.000
Dptos. Duplex En Pre-venta,Departamentos,3,3,1,165,Este,160.000
"Hermosa Vivienda Minimalista A Estrenar, En Condominio La Pradera",Casas,4,3,2,236,Norte / Remanso,173.000
Casa A Estrenar De Dos Plantas,Casas,3,3,2,170,Norte / Remanso,109.900
Hermosa Casa Vendo,Casas,4,3,3,638,Este,1.500.000
Hermosa Casa Estilo Europea,Casas,4,3,3,348,Sur,330.000
Ricardo Trujillo Castro,Casas,5,3,1,210,Este,78.000
Hermosa Casa De Lujo A Estrenar,Casas,3,3,2,365,Norte,450.000
Hermosa Casa En Venta,Casas,3,3,0,223,,374.000
Se Vende Casa En Zona Norte Y Se Acepta Vehiculo Como Parte De Pago,Casas,2,2,3,155,Norte,132.000
Nuevo Precio !!!!!!!urubo Green Vendo Hermosa Casa De Diseño,Casas,4,3,3,400,Urubó,450.000
Casa En Venta En Urbari,Casas,3,3,3,259,Oeste,360.000
"Hermosa Casa En Venta, Zona De Alta Plusvalía (zona Norte) En Condominio Cerrado",Casas,3,3,2,190,Norte / Remanso,130.000
Departamento En Venta Condominio Torres Gemelas,Casas,4,3,1,200,Norte,180.000
"Hermosa Casa En El Urubo, Oferta",Casas,3,3,1,160,Urubó,180.000
Casa En Venta Zona 3 Pasos Al Frente,Casas,3,3,3,280,Este,135.000
Vendo Casa Independiente,Casas,4,2,2,196,Norte,155.000
Casas Gemelas,Casas,2,2,0,186,Norte / Remanso,142.000
Casa En Venta Zona Norte Cerca De Ucebol,Casas,3,2,2,350,Norte,105.000
Casa En Cond. Las Palmas II,Casas,3,3,2,190,Oeste,190.000
Lindas Casas A Estrenar Condominio Lleno De Naturaleza Zona Av Pirai 5to Anillo,Casas,3,3,2,285,Oeste,210.000
Hermosa Casa En Venta,Casas,5,3,0,360,Norte,210.000
Venta Departamento 1 Dormitorio A Estrenar,Departamentos,1,1,1,5935,Norte / Hamacas,53.500
Buen Estado,Casas,3,2,0,280,Norte,35.000
Propiedad A Estrenar,Condominio,6,3,0,400,Centro,750.000
Casa Y Galpón En Venta Zona De Alta Plusvalía Entre 4to Y 5to Anillo Zona Norte,Casas,4,3,0,570,Norte,350.000
"Casa En Venta, A Estrenar, Alemana Y 7mo Anillo.. $us120.000.. Wsapp. 71016411,",Casas,3,3,2,170,Norte,120.000
Casa En Venta Barrio Las Palmas,Casas,5,3,2,250,Oeste,250.000
Vendo Linda Casa Zona Sur 7 Y 8 Anillo,Casas,3,1,1,250,Sur,67.000
Venta De Casa En Zona Norte,Casas,3,3,3,360,Norte / Remanso,245.000
Linda Casa En Avenida Alemana,Casas,3,3,2,200,Norte,146.000
Lindo Departamento De Ocasión!! Gardenia Norte,Departamentos,3,3,2,160,Norte / Hamacas,125.000
Casa De Lujo Radial 26,Casas,5,3,2,802,Norte,480.000
"Salta,rep.argentina Vendo Bella Casa",Casas,5,3,3,780,Norte,950.000
Casa A Estrenar En El Remanso,Casas,3,3,2,230,Norte / Remanso,135.000
Hermoso Pethouse Duplex,Departamentos,4,3,1,470,Norte,390.000
Lujo Total En El Urubo,Casas,5,3,3,580,Oeste,630.000
$us 345.000 Casa Zona Central,Casas,4,3,0,260,Centro,345.000
Casas Financiadas 100% A Tiempo Record 30 Años Plazo,Casas,2,1,0,180,Este,1.000
Casa En Venta,Casas,3,3,2,185,Norte,127.800
Casa Amplia,Casas,3,3,0,190,Norte,75.000
Hermosa Casa En Condominio Cerrado,Casas,3,3,3,190,Norte / Remanso,188.000
Vendo Casa Frente A Parque Y Colegio,Casas,5,3,2,410,Este,175.000
Vendo Casa De 2 Pisos - Con 2 Tiendas Funcionando,Casas,5,3,3,260,Sur,150.000
Hermosa Casa En Venta Barrio Jardín Latino,Casas,3,3,2,247,Oeste,147.000
Casa En Preventa,Casas,4,3,0,293,Urubó,293.000
